date,hi1_open,hi1_high,hi1_low,hi1_close,hi1_volume_max,hi1_volume_min
20170703,25524.0,25768.0,25506.0,25764.0,1545.0,1.0
20170704,25681.0,25747.0,25136.0,25315.0,3157.0,1.0
20170705,25289.0,25485.0,25110.0,25468.0,1733.0,1.0
20170706,25545.0,25593.0,25342.0,25377.0,1344.0,1.0
20170707,25313.0,25386.0,25261.0,25352.0,1562.0,1.0
20170710,25380.0,25606.0,25307.0,25562.0,2567.0,1.0
20170711,25555.0,25975.0,25544.0,25915.0,1709.0,1.0
20170712,25924.0,26325.0,25924.0,26310.0,3326.0,2.0
20170713,26339.0,26398.0,26283.0,26378.0,1439.0,1.0
20170714,26402.0,26569.0,26322.0,26550.0,1150.0,1.0
20170717,26608.0,26643.0,26391.0,26454.0,1818.0,1.0
20170718,26487.0,26563.0,26415.0,26491.0,1573.0,1.0
20170719,26550.0,26780.0,26522.0,26740.0,1785.0,1.0
20170720,26742.0,26783.0,26658.0,26759.0,1172.0,1.0
20170721,26759.0,26785.0,26661.0,26670.0,1212.0,1.0
20170724,26721.0,26904.0,26698.0,26828.0,1473.0,1.0
20170725,26832.0,26956.0,26811.0,26941.0,1180.0,1.0
20170726,26913.0,26995.0,26802.0,26938.0,1735.0,1.0
20170727,26962.0,27165.0,26943.0,27115.0,1296.0,1.0
20170728,26982.0,27048.0,26870.0,26982.0,1473.0,1.0
20170731,26966.0,27259.0,26951.0,27202.0,1773.0,1.0
20170801,27212.0,27609.0,27212.0,27522.0,1204.0,1.0
20170802,27505.0,27655.0,27462.0,27484.0,1545.0,1.0
20170803,27460.0,27580.0,27363.0,27553.0,1718.0,1.0
20170804,27550.0,27576.0,27464.0,27528.0,1955.0,1.0
20170807,27576.0,27720.0,27550.0,27570.0,1223.0,1.0
20170808,27600.0,27880.0,27561.0,27872.0,1685.0,1.0
20170809,27740.0,27785.0,27550.0,27652.0,1317.0,1.0
20170810,27745.0,27766.0,27191.0,27224.0,2353.0,1.0
20170811,26985.0,27174.0,26805.0,26960.0,2478.0,1.0
20170814,27086.0,27315.0,27006.0,27314.0,1838.0,1.0
20170815,27300.0,27375.0,27023.0,27101.0,1883.0,1.0
20170816,27063.0,27594.0,27036.0,27560.0,2076.0,2.0
20170817,27566.0,27580.0,27147.0,27188.0,2113.0,1.0
20170818,27060.0,27218.0,26924.0,27091.0,2039.0,2.0
20170821,27045.0,27236.0,27021.0,27225.0,1781.0,1.0
20170822,27294.0,27548.0,27280.0,27532.0,1716.0,1.0
20170824,27517.0,27618.0,27465.0,27537.0,694.0,1.0
20170825,27580.0,28039.0,27433.0,27940.0,661.0,1.0
20170828,27851.0,28071.0,27823.0,27875.0,635.0,1.0
20170829,27807.0,27860.0,27659.0,27858.0,550.0,1.0
20170830,27750.0,28014.0,27740.0,27880.0,697.0,1.0
20170831,27930.0,27975.0,27820.0,27943.0,766.0,1.0
20170901,27980.0,28050.0,27851.0,27954.0,649.0,1.0
20170904,27810.0,27870.0,27611.0,27799.0,970.0,1.0
20170905,27776.0,27824.0,27628.0,27643.0,750.0,1.0
20170906,27611.0,27700.0,27350.0,27645.0,1046.0,1.0
20170907,27740.0,27788.0,27430.0,27584.0,662.0,1.0
20170908,27536.0,27754.0,27518.0,27655.0,723.0,1.0
20170911,27780.0,28025.0,27775.0,28018.0,846.0,1.0
20170912,28000.0,28034.0,27857.0,27960.0,776.0,1.0
20170913,27955.0,27983.0,27711.0,27788.0,817.0,1.0
20170914,27812.0,27870.0,27666.0,27763.0,801.0,1.0
20170915,27723.0,27913.0,27457.0,27822.0,1020.0,1.0
20170918,27933.0,28168.0,27904.0,28136.0,906.0,1.0
20170919,28135.0,28225.0,28014.0,28038.0,836.0,1.0
20170920,28050.0,28175.0,27994.0,28091.0,631.0,1.0
20170921,28091.0,28175.0,28035.0,28057.0,632.0,1.0
20170922,28007.0,28010.0,27771.0,27810.0,877.0,1.0
20170925,27894.0,27895.0,27342.0,27369.0,1171.0,1.0
20170926,27360.0,27605.0,27289.0,27501.0,772.0,1.0
20170927,27473.0,27685.0,27446.0,27506.0,484.0,1.0
20170928,27565.0,27642.0,27272.0,27283.0,2031.0,3.0
20170929,27464.0,27590.0,27336.0,27566.0,1905.0,1.0
20171003,27749.0,28241.0,27688.0,28225.0,1552.0,1.0
20171004,28184.0,28514.0,28183.0,28337.0,2148.0,1.0
20171006,28600.0,28623.0,28302.0,28346.0,1658.0,1.0
20171009,28422.0,28472.0,28255.0,28325.0,1686.0,1.0
20171010,28347.0,28546.0,28244.0,28516.0,1656.0,1.0
20171011,28584.0,28608.0,28225.0,28377.0,1274.0,1.0
20171012,28446.0,28542.0,28362.0,28441.0,1102.0,1.0
20171013,28403.0,28613.0,28356.0,28612.0,1307.0,1.0
20171016,28657.0,28811.0,28604.0,28723.0,1356.0,1.0
20171017,28736.0,28763.0,28610.0,28628.0,1268.0,1.0
20171018,28643.0,28752.0,28621.0,28752.0,1253.0,1.0
20171019,28751.0,28775.0,28057.0,28284.0,2916.0,4.0
20171020,28360.0,28531.0,28319.0,28449.0,1737.0,1.0
20171023,28541.0,28550.0,28213.0,28245.0,2567.0,1.0
20171024,28230.0,28340.0,28072.0,28300.0,1833.0,1.0
